plot_name,"Winter survival - percent			|CO_350:0000170","Freeze damage severity - 0-9 Rating			|CO_350:0005001","Pea freeze damage severity - 0-5 Rating			|COMP:0000051","Pea winter survival - percent			|COMP:0000050"
CU_2025_Ithaca_WOP_PLOT_609,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_610,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_613,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_614,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_615,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_616,0,9,4,60
CU_2025_Ithaca_WOP_PLOT_621,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_622,0,9,4,10
CU_2025_Ithaca_WOP_PLOT_623,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_624,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_626,0,9,4,20
CU_2025_Ithaca_WOP_PLOT_627,0,9,4,20
CU_2025_Ithaca_WOP_PLOT_632,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_638,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_639,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_640,0,9,4,60
CU_2025_Ithaca_WOP_PLOT_707,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_708,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_709,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_721,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_726,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_727,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_730,0,9,3,70
CU_2025_Ithaca_WOP_PLOT_732,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_741,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_742,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_803,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_804,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_805,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_806,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_807,0,9,4,60
CU_2025_Ithaca_WOP_PLOT_809,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_810,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_811,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_818,0,9,4,60
CU_2025_Ithaca_WOP_PLOT_821,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_822,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_823,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_824,0,9,4,60
CU_2025_Ithaca_WOP_PLOT_826,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_831,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_832,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_833,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_834,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_835,0,9,4,60
CU_2025_Ithaca_WOP_PLOT_836,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_839,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_837,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_825,10,8,4,50
CU_2025_Ithaca_WOP_PLOT_124,10,8,4,50
CU_2025_Ithaca_WOP_PLOT_128,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_130,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_134,10,8,3,80
CU_2025_Ithaca_WOP_PLOT_135,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_136,10,8,4,70
CU_2025_Ithaca_WOP_PLOT_137,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_205,10,8,3,80
CU_2025_Ithaca_WOP_PLOT_214,10,8,4,60
CU_2025_Ithaca_WOP_PLOT_215,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_223,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_224,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_227,10,8,4,60
CU_2025_Ithaca_WOP_PLOT_304,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_312,10,8,3,70
CU_2025_Ithaca_WOP_PLOT_316,10,8,4,60
CU_2025_Ithaca_WOP_PLOT_342,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_405,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_431,10,8,3,70
CU_2025_Ithaca_WOP_PLOT_436,10,8,4,70
CU_2025_Ithaca_WOP_PLOT_502,10,8,4,40
CU_2025_Ithaca_WOP_PLOT_503,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_510,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_511,10,9,4,20
CU_2025_Ithaca_WOP_PLOT_517,10,8,4,50
CU_2025_Ithaca_WOP_PLOT_530,10,8,4,20
CU_2025_Ithaca_WOP_PLOT_537,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_538,10,8,4,60
CU_2025_Ithaca_WOP_PLOT_601,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_603,10,8,4,30
CU_2025_Ithaca_WOP_PLOT_604,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_605,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_606,10,8,3,70
CU_2025_Ithaca_WOP_PLOT_620,10,8,4,40
CU_2025_Ithaca_WOP_PLOT_625,10,8,4,30
CU_2025_Ithaca_WOP_PLOT_628,10,8,4,40
CU_2025_Ithaca_WOP_PLOT_630,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_637,10,8,4,60
CU_2025_Ithaca_WOP_PLOT_703,10,8,4,40
CU_2025_Ithaca_WOP_PLOT_710,10,8,4,30
CU_2025_Ithaca_WOP_PLOT_713,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_714,10,8,4,40
CU_2025_Ithaca_WOP_PLOT_717,10,8,4,50
CU_2025_Ithaca_WOP_PLOT_718,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_720,10,8,4,79
CU_2025_Ithaca_WOP_PLOT_729,10,8,4,50
CU_2025_Ithaca_WOP_PLOT_737,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_808,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_812,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_814,10,8,4,30
CU_2025_Ithaca_WOP_PLOT_815,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_817,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_819,10,8,4,40
CU_2025_Ithaca_WOP_PLOT_827,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_829,10,8,4,40
CU_2025_Ithaca_WOP_PLOT_830,10,8,5,0
CU_2025_Ithaca_WOP_PLOT_113,20,8,4,40
CU_2025_Ithaca_WOP_PLOT_114,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_121,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_133,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_141,20,8,4,70
CU_2025_Ithaca_WOP_PLOT_216,20,8,4,70
CU_2025_Ithaca_WOP_PLOT_232,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_238,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_242,20,8,4,50
CU_2025_Ithaca_WOP_PLOT_337,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_338,20,8,4,60
CU_2025_Ithaca_WOP_PLOT_423,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_424,20,8,3,70
CU_2025_Ithaca_WOP_PLOT_426,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_427,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_437,20,8,4,80
CU_2025_Ithaca_WOP_PLOT_501,20,7,5,0
CU_2025_Ithaca_WOP_PLOT_504,20,7,3,30
CU_2025_Ithaca_WOP_PLOT_507,20,7,5,0
CU_2025_Ithaca_WOP_PLOT_508,20,7,4,60
CU_2025_Ithaca_WOP_PLOT_519,20,8,4,29
CU_2025_Ithaca_WOP_PLOT_526,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_629,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_631,20,8,4,40
CU_2025_Ithaca_WOP_PLOT_641,20,8,4,30
CU_2025_Ithaca_WOP_PLOT_642,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_711,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_731,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_738,20,8,3,80
CU_2025_Ithaca_WOP_PLOT_813,20,7,3,60
CU_2025_Ithaca_WOP_PLOT_820,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_828,20,8,4,60
CU_2025_Ithaca_WOP_PLOT_838,20,8,5,0
CU_2025_Ithaca_WOP_PLOT_108,30,7,4,60
CU_2025_Ithaca_WOP_PLOT_109,30,8,5,0
CU_2025_Ithaca_WOP_PLOT_120,30,7,4,60
CU_2025_Ithaca_WOP_PLOT_129,30,8,4,70
CU_2025_Ithaca_WOP_PLOT_131,30,8,4,60
CU_2025_Ithaca_WOP_PLOT_132,30,8,4,60
CU_2025_Ithaca_WOP_PLOT_138,30,8,4,70
CU_2025_Ithaca_WOP_PLOT_203,30,7,3,80
CU_2025_Ithaca_WOP_PLOT_212,30,7,3,80
CU_2025_Ithaca_WOP_PLOT_213,30,7,5,0
CU_2025_Ithaca_WOP_PLOT_226,30,8,5,0
CU_2025_Ithaca_WOP_PLOT_310,30,7,3,60
CU_2025_Ithaca_WOP_PLOT_328,30,8,5,0
CU_2025_Ithaca_WOP_PLOT_330,30,7,5,0
CU_2025_Ithaca_WOP_PLOT_335,30,7,3,80
CU_2025_Ithaca_WOP_PLOT_404,30,8,5,0
CU_2025_Ithaca_WOP_PLOT_406,30,8,4,70
CU_2025_Ithaca_WOP_PLOT_422,30,7,5,0
CU_2025_Ithaca_WOP_PLOT_438,30,8,5,0
CU_2025_Ithaca_WOP_PLOT_442,30,8,4,80
CU_2025_Ithaca_WOP_PLOT_509,30,7,4,30
CU_2025_Ithaca_WOP_PLOT_513,30,7,5,0
CU_2025_Ithaca_WOP_PLOT_520,30,7,5,0
CU_2025_Ithaca_WOP_PLOT_521,30,8,5,0
CU_2025_Ithaca_WOP_PLOT_522,30,8,4,40
CU_2025_Ithaca_WOP_PLOT_524,30,8,4,40
CU_2025_Ithaca_WOP_PLOT_534,30,7,4,50
CU_2025_Ithaca_WOP_PLOT_618,30,8,5,0
CU_2025_Ithaca_WOP_PLOT_619,30,8,5,0
CU_2025_Ithaca_WOP_PLOT_634,30,8,5,0
CU_2025_Ithaca_WOP_PLOT_704,30,8,5,0
CU_2025_Ithaca_WOP_PLOT_723,30,7,4,40
CU_2025_Ithaca_WOP_PLOT_728,30,8,5,0
CU_2025_Ithaca_WOP_PLOT_117,40,7,4,70
CU_2025_Ithaca_WOP_PLOT_123,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_139,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_202,40,6,4,80
CU_2025_Ithaca_WOP_PLOT_206,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_210,40,7,4,70
CU_2025_Ithaca_WOP_PLOT_233,40,7,4,60
CU_2025_Ithaca_WOP_PLOT_236,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_307,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_309,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_329,40,7,4,60
CU_2025_Ithaca_WOP_PLOT_419,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_439,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_512,40,7,4,60
CU_2025_Ithaca_WOP_PLOT_523,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_532,40,8,5,0
CU_2025_Ithaca_WOP_PLOT_612,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_716,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_724,40,7,4,50
CU_2025_Ithaca_WOP_PLOT_725,40,8,5,0
CU_2025_Ithaca_WOP_PLOT_735,40,7,5,0
CU_2025_Ithaca_WOP_PLOT_842,40,7,3,80
CU_2025_Ithaca_WOP_PLOT_106,50,6,5,0
CU_2025_Ithaca_WOP_PLOT_107,50,6,4,70
CU_2025_Ithaca_WOP_PLOT_111,50,7,5,0
CU_2025_Ithaca_WOP_PLOT_127,50,5,4,60
CU_2025_Ithaca_WOP_PLOT_142,50,6,5,0
CU_2025_Ithaca_WOP_PLOT_201,50,6,5,0
CU_2025_Ithaca_WOP_PLOT_239,50,6,5,0
CU_2025_Ithaca_WOP_PLOT_241,50,6,5,0
CU_2025_Ithaca_WOP_PLOT_331,50,6,3,70
CU_2025_Ithaca_WOP_PLOT_333,50,6,5,0
CU_2025_Ithaca_WOP_PLOT_334,50,6,5,0
CU_2025_Ithaca_WOP_PLOT_415,50,5,5,0
CU_2025_Ithaca_WOP_PLOT_425,50,6,3,80
CU_2025_Ithaca_WOP_PLOT_516,50,6,4,40
CU_2025_Ithaca_WOP_PLOT_525,50,7,3,60
CU_2025_Ithaca_WOP_PLOT_617,50,7,4,60
CU_2025_Ithaca_WOP_PLOT_736,50,7,3,70
CU_2025_Ithaca_WOP_PLOT_816,50,7,4,50
CU_2025_Ithaca_WOP_PLOT_102,60,7,5,0
CU_2025_Ithaca_WOP_PLOT_126,60,7,5,0
CU_2025_Ithaca_WOP_PLOT_211,60,6,5,0
CU_2025_Ithaca_WOP_PLOT_229,60,6,5,0
CU_2025_Ithaca_WOP_PLOT_237,60,6,3,80
CU_2025_Ithaca_WOP_PLOT_308,60,5,3,60
CU_2025_Ithaca_WOP_PLOT_412,60,6,4,20
CU_2025_Ithaca_WOP_PLOT_418,60,7,3,70
CU_2025_Ithaca_WOP_PLOT_528,60,7,5,0
CU_2025_Ithaca_WOP_PLOT_535,60,6,5,0
CU_2025_Ithaca_WOP_PLOT_611,60,6,3,79
CU_2025_Ithaca_WOP_PLOT_633,60,7,4,50
CU_2025_Ithaca_WOP_PLOT_712,60,6,4,40
CU_2025_Ithaca_WOP_PLOT_719,60,7,5,0
CU_2025_Ithaca_WOP_PLOT_740,60,7,5,0
CU_2025_Ithaca_WOP_PLOT_801,60,7,5,0
CU_2025_Ithaca_WOP_PLOT_802,60,6,4,50
CU_2025_Ithaca_WOP_PLOT_101,70,6,4,50
CU_2025_Ithaca_WOP_PLOT_103,70,4,4,40
CU_2025_Ithaca_WOP_PLOT_110,70,4,3,80
CU_2025_Ithaca_WOP_PLOT_118,70,5,5,0
CU_2025_Ithaca_WOP_PLOT_122,70,6,4,50
CU_2025_Ithaca_WOP_PLOT_230,70,5,5,0
CU_2025_Ithaca_WOP_PLOT_314,70,4,5,0
CU_2025_Ithaca_WOP_PLOT_421,70,4,3,80
CU_2025_Ithaca_WOP_PLOT_440,70,5,3,80
CU_2025_Ithaca_WOP_PLOT_515,70,7,5,0
CU_2025_Ithaca_WOP_PLOT_529,70,5,3,50
CU_2025_Ithaca_WOP_PLOT_531,70,5,4,40
CU_2025_Ithaca_WOP_PLOT_533,70,5,5,0
CU_2025_Ithaca_WOP_PLOT_536,70,4,3,70
CU_2025_Ithaca_WOP_PLOT_541,70,6,5,0
CU_2025_Ithaca_WOP_PLOT_542,70,4,4,50
CU_2025_Ithaca_WOP_PLOT_635,70,4,3,70
CU_2025_Ithaca_WOP_PLOT_636,70,7,5,0
CU_2025_Ithaca_WOP_PLOT_715,70,4,3,70
CU_2025_Ithaca_WOP_PLOT_722,70,6,5,0
CU_2025_Ithaca_WOP_PLOT_733,70,6,3,60
CU_2025_Ithaca_WOP_PLOT_840,70,5,3,70
CU_2025_Ithaca_WOP_PLOT_104,80,4,5,0
CU_2025_Ithaca_WOP_PLOT_204,80,4,5,0
CU_2025_Ithaca_WOP_PLOT_209,80,5,5,0
CU_2025_Ithaca_WOP_PLOT_228,80,5,3,70
CU_2025_Ithaca_WOP_PLOT_231,80,3,3,80
CU_2025_Ithaca_WOP_PLOT_235,80,7,3,90
CU_2025_Ithaca_WOP_PLOT_240,80,6,3,90
CU_2025_Ithaca_WOP_PLOT_301,80,4,4,60
CU_2025_Ithaca_WOP_PLOT_302,80,5,5,0
CU_2025_Ithaca_WOP_PLOT_306,80,5,3,90
CU_2025_Ithaca_WOP_PLOT_315,80,3,3,70
CU_2025_Ithaca_WOP_PLOT_332,80,5,2,90
CU_2025_Ithaca_WOP_PLOT_336,80,4,2,90
CU_2025_Ithaca_WOP_PLOT_414,80,4,3,80
CU_2025_Ithaca_WOP_PLOT_607,80,4,5,0
CU_2025_Ithaca_WOP_PLOT_608,80,3,3,50
CU_2025_Ithaca_WOP_PLOT_701,80,5,4,70
CU_2025_Ithaca_WOP_PLOT_702,80,4,5,0
CU_2025_Ithaca_WOP_PLOT_705,80,2,5,0
CU_2025_Ithaca_WOP_PLOT_734,80,6,5,0
CU_2025_Ithaca_WOP_PLOT_739,80,6,4,50
CU_2025_Ithaca_WOP_PLOT_841,80,5,5,0
CU_2025_Ithaca_WOP_PLOT_416,90,2,5,0
CU_2025_Ithaca_WOP_PLOT_417,90,2,3,40
CU_2025_Ithaca_WOP_PLOT_706,90,2,5,0
