studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,intercropGermplasmDbId,intercropGermplasmName,germplasmEntryNumber,Crown rust severity (flag leaf) - percent|CO_350:0005029,Freeze damage severity - 0-9 Rating|CO_350:0005001,Grain yield - g/m2|CO_350:0000260,Winter stress severity - 0-9 Rating|CO_350:0005003,notes
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",85295,NC07-3966,,plot,243557,UWOYT_2011_MattMoore_NC07-3966_13,1,1,1013,,,test,,,,,,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",90642,PORTAGE,"03C0700912,BGR7918,PORG,Portage,Portage Oats",plot,243559,UWOYT_2011_MattMoore_PORTAGE_1,1,1,1001,,,check,,,,,50,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",102578,RODGERS,"NC88-1818,Rodgers,Rogers,ROGERS",plot,243561,UWOYT_2011_MattMoore_RODGERS_26,1,1,1026,,,check,,,,,45,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",94451,STARTER,"03C0701932,MN 80116,MN80116,Starter,Starter Oat",plot,243558,UWOYT_2011_MattMoore_STARTER_18,1,1,1018,,,check,,,,,,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",101718,TAMO406,"TAM O-406,TAM_O-406,TAMO-406,TAMO406,TX02U7344",plot,243547,UWOYT_2011_MattMoore_TAMO406_22,1,1,1022,,,check,,,,,,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",86146,TX02D079,,plot,243566,UWOYT_2011_MattMoore_TX02D079_6,1,1,1006,,,test,,,,,25,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",100772,TX05CS556,,plot,243568,UWOYT_2011_MattMoore_TX05CS556_23,1,1,1023,,,test,,,,,15,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",90375,TX07CS2783,,plot,243564,UWOYT_2011_MattMoore_TX07CS2783_2,1,1,1002,,,test,,,,,5,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",90561,TX07CS3697,,plot,243550,UWOYT_2011_MattMoore_TX07CS3697_5,1,1,1005,,,test,,,,,5,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",87247,TX09CS1025,,plot,243554,UWOYT_2011_MattMoore_TX09CS1025_15,1,1,1015,,,test,,,,,7,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",86276,TX09CS1066,,plot,243549,UWOYT_2011_MattMoore_TX09CS1066_16,1,1,1016,,,test,,,,,7,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",90002,TX09CS1112,,plot,243551,UWOYT_2011_MattMoore_TX09CS1112_3,1,1,1003,,,test,,,,,,,,,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",101556,FL0115-J2,,plot,244481,UWOYT_2009_LaurelSprings_FL0115-J2_8,1,1,1008,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",86798,FL0210-J1,,plot,244478,UWOYT_2009_LaurelSprings_FL0210-J1_1,1,1,1001,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",96967,FL03167BSBS-3,,plot,244476,UWOYT_2009_LaurelSprings_FL03167BSBS-3_9,1,1,1009,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",98950,FL99153FBS-45-1-B-S-B-S1-B-S1,,plot,244488,UWOYT_2009_LaurelSprings_FL99153FBS-45-1-B-S-B-S1-B-S1_10,1,1,1010,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",100459,FL99212-D6,,plot,244469,UWOYT_2009_LaurelSprings_FL99212-D6_11,1,1,1011,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",85035,FLQR1805-J12,,plot,244487,UWOYT_2009_LaurelSprings_FLQR1805-J12_2,1,1,1002,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",99967,HARRISON,"Coker 87-9,Harrison,HH539:C87-9",plot,244470,UWOYT_2009_LaurelSprings_HARRISON_12,1,1,1012,,,check,,,,,,,,8,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",99142,HORIZON201,"FL99201-D29-E1,Horizon 201,TX96M1384",plot,244491,UWOYT_2009_LaurelSprings_HORIZON201_23,1,1,1023,,,check,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",84729,LA02035-J1,,plot,244472,UWOYT_2009_LaurelSprings_LA02035-J1_3,1,1,1003,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",99524,LA03046SBS7-B-S1,,plot,244468,UWOYT_2009_LaurelSprings_LA03046SBS7-B-S1_13,1,1,1013,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",102322,LA04004SBSB-61-B-S1,,plot,244489,UWOYT_2009_LaurelSprings_LA04004SBSB-61-B-S1_14,1,1,1014,,,test,,,,,,,,7,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",97697,LA97006GSB-59-2-4-SBS1,,plot,244473,UWOYT_2009_LaurelSprings_LA97006GSB-59-2-4-SBS1_15,1,1,1015,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",100016,NC01-3497,,plot,244490,UWOYT_2009_LaurelSprings_NC01-3497_4,1,1,1004,,,test,,,,,,,,6,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",97218,NC03-2421,,plot,244484,UWOYT_2009_LaurelSprings_NC03-2421_5,1,1,1005,,,test,,,,,,,,7,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",99498,NC03-2567V,,plot,244483,UWOYT_2009_LaurelSprings_NC03-2567V_6,1,1,1006,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",98938,NC05-5460Y,,plot,244485,UWOYT_2009_LaurelSprings_NC05-5460Y_7,1,1,1007,,,test,,,,,,,,6,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",102578,RODGERS,"NC88-1818,Rodgers,Rogers,ROGERS",plot,244479,UWOYT_2009_LaurelSprings_RODGERS_24,1,1,1024,,,check,,,,,,,,8,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",101718,TAMO406,"TAM O-406,TAM_O-406,TAMO-406,TAMO406,TX02U7344",plot,244482,UWOYT_2009_LaurelSprings_TAMO406_16,1,1,1016,,,check,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",101501,TAMO411,TX05CS 347-1,plot,244480,UWOYT_2009_LaurelSprings_TAMO411_17,1,1,1017,,,test,,,,,,,,7,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",101981,TX02U7325,TX02U 7325,plot,244486,UWOYT_2009_LaurelSprings_TX02U7325_18,1,1,1018,,,test,,,,,,,,7,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",98419,TX02U7490,TX02U 7490,plot,244474,UWOYT_2009_LaurelSprings_TX02U7490_19,1,1,1019,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",101201,TX02U7682,TX02U 7682,plot,244475,UWOYT_2009_LaurelSprings_TX02U7682_20,1,1,1020,,,test,,,,,,,,9,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",101659,TX05CS542,,plot,244471,UWOYT_2009_LaurelSprings_TX05CS542_21,1,1,1021,,,test,,,,,,,,7,
2009,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2198,UWOYT_2009_LaurelSprings,"Uniform Winter Oat Yield Trial, , Winter stress nursery location in mountain region (elevation 3000ft). Not harvested.",CRD,,,,no,no,2008-October-02,,92,"Laurel Springs, NC",100772,TX05CS556,,plot,244477,UWOYT_2009_LaurelSprings_TX05CS556_22,1,1,1022,,,test,,,,,,,,8,
2014,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2224,UWOYT_2014_Prosper,"Uniform Winter Oat Yield Trial, , Hard freeze severely injured susceptible entries. Grain yield was originally recorded in bu/a and the original data is available in the supplementary raw data files. Test weight was originally recorded in lb/bu and the o",CRD,,,,no,no,,,118,"Prosper, TX",90223,FL03254-L1,,plot,246121,UWOYT_2014_Prosper_FL03254-L1_5,1,1,1005,,,test,,,,,,,86.25,9,
2014,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2224,UWOYT_2014_Prosper,"Uniform Winter Oat Yield Trial, , Hard freeze severely injured susceptible entries. Grain yield was originally recorded in bu/a and the original data is available in the supplementary raw data files. Test weight was originally recorded in lb/bu and the o",CRD,,,,no,no,,,118,"Prosper, TX",88849,FL05067-L1,FL0567-L1,plot,246120,UWOYT_2014_Prosper_FL05067-L1_4,1,1,1004,,,test,,,,,,,89.25,9,
2014,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2224,UWOYT_2014_Prosper,"Uniform Winter Oat Yield Trial, , Hard freeze severely injured susceptible entries. Grain yield was originally recorded in bu/a and the original data is available in the supplementary raw data files. Test weight was originally recorded in lb/bu and the o",CRD,,,,no,no,,,118,"Prosper, TX",84779,FL0720-R5,,plot,246119,UWOYT_2014_Prosper_FL0720-R5_6,1,1,1006,,,test,,,,,,,37.875,9,
