Oat,OatGrain_Inter,FreezeDamage_Inter,GrowthStage_Inter,Lodging_Inter,Height_Inter,PeaGrain_Inter,OatGrain_Mono,FreezeDamage_Mono,GrowthStage_Mono,Lodging_Mono,Height_Mono,SelIndex,,,Economic value,OatGrain,FreezeDamage,GrowthStage,Lodging,Height
LA17089SBS-45-1-1,-6.89,-0.33,-0.04,0.61,-4.72,20.06,13.9,-0.29,-0.04,-0.24,-2.04,25.68,,Height_Mono,0,,,,,
NC20-4551,20.89,-0.13,-0.04,-0.9,-1.89,-25.46,45.21,-0.35,0.04,-1.65,-0.81,24.51,,,,,,,,
LA99016,19.96,0.24,0.08,-0.37,5.2,-4.52,21.48,0.21,0.12,-0.22,0.58,22.53,,,,,,,,
NC20-4700,23.12,0.16,-0.04,-0.18,3.76,1.16,0.59,0.15,-0.03,-0.46,-1.13,21.67,,,,,,,,
HARRISON,-17.26,-0.36,-0.04,0.46,0.6,29.82,5.02,-0.28,-0.03,-0.61,3.66,21.22,,,,,,,,
NC21-6610,15.75,-0.23,-0.02,-0.33,-6.26,-17.25,32.81,-0.22,-0.01,-0.93,-8.09,20.13,,,,,,,,
Horizon 578,12.78,-0.43,0.08,-0.3,-11.37,1.4,-0.55,-0.07,0.05,-1.07,-9.72,20.02,,,,,,,,
NC21-6511,1.58,0.04,-0.02,-0.1,2.16,4.77,18.84,-0.3,-0.01,0.23,-1.55,18.23,,,,,,,,
PA7617-3460,0.71,-0.58,-0.02,0.14,17.97,6.08,0.24,-0.58,-0.02,0.53,15.53,18.03,,,,,,,,
NC19-3542,35,0.66,0.09,-0.42,-5.28,-15.08,9.49,0.23,0.05,-1.08,-7.45,17.04,,,,,,,,
NF01404A,7.43,-0.32,-0.02,-0.24,7.83,-4.59,14.02,-0.25,-0.01,-1.7,3.67,16.54,,,,,,,,
FLLA17088-77,-1.73,-0.13,-0.03,-0.48,4.08,3.24,21.35,-0.16,-0.02,-0.99,5.31,15.98,,,,,,,,
NF12AS-107-4_4,-7.19,0.09,0.08,-0.38,2.22,11.95,21.94,0.09,-0.03,-0.1,1.28,14.41,,,,,,,,
NF12AS-108-4_1,16.09,0.08,-0.03,-0.26,-1.48,-6.51,11.22,0.13,-0.01,-0.82,-2.23,13.65,,,,,,,,
NF97405B2,-5.29,0.05,-0.04,0.32,0.03,18.85,3.49,0.07,-0.03,0.91,1.91,13.26,,,,,,,,
SCLA17080SBS-4-2,7.89,0.11,-0.04,0.01,7,-3.5,18.7,0.15,-0.01,-0.74,5.77,11.44,,,,,,,,
NF12AS-108-4_4,-8.25,-0.11,-0.04,0.04,-4.09,20.34,-6.07,0.15,-0.03,-0.46,-4.83,8.69,,,,,,,,
LA17069SBSS-2-1,-13.32,0.2,0.21,0.68,3.01,21.79,6.08,0.15,0.11,0.07,3.07,7.99,,,,,,,,
SCLA17031SBSS-4-1,12.18,-0.15,-0.04,-0.56,-4.17,-2.66,-1.61,0.29,-0.01,-0.24,-4.15,7.94,,,,,,,,
NC20-4702,-12.32,0.09,-0.03,0.44,-5.57,14.76,15.04,0.06,-0.03,0.38,-5.74,7.77,,,,,,,,
NF18,17.57,0.41,-0.03,-0.34,-1.55,-10.48,11.08,0.12,-0.02,-0.19,-0.88,7.74,,,,,,,,
NC21-6609,9.85,0.08,0.11,-0.03,-10.22,-1.83,1.67,0.08,-0.01,-0.41,-10.09,7.62,,,,,,,,
FLLA17069-54,-12.23,0.16,0.09,0,-6.09,37.71,-31.23,0.19,-0.02,-0.14,-7.04,6.61,,,,,,,,
OKAY,-17.45,-0.36,-0.03,0.23,1.73,11.91,7.07,-0.47,-0.03,-0.16,-2.51,5.98,,,,,,,,
NF13-4173-4_5,-10.21,0.14,-0.04,1.2,-2.09,21.53,-1.85,0.16,-0.02,1.38,0.28,5.44,,,,,,,,
NC21-6497,15.69,0.12,-0.02,-0.48,-9.48,-8.44,-5.71,-0.17,-0.01,-0.16,-13.86,5.39,,,,,,,,
NF502_5,-0.58,0.09,-0.01,0.71,5.62,6.79,0.05,-0.05,0,0.76,7.69,4.77,,,,,,,,
TX18OCS9104,32.09,0.43,-0.03,-0.48,-1.81,-28.25,16.59,0.37,-0.02,-0.11,-2.24,4.62,,,,,,,,
NF97405-1,-4.32,-0.2,-0.05,0.15,-1.91,2.92,5.9,-0.12,-0.02,0.55,1.46,4.16,,,,,,,,
NORA,-3.26,0.07,-0.02,0.04,10.04,5.04,8.62,0.11,-0.01,0.67,5.81,3.86,,,,,,,,
NF12AS-122-4_4,-0.28,0.16,-0.04,1.31,2.07,16.79,-18.53,-0.08,-0.02,3.39,6.88,3.33,,,,,,,,
NF01401B,-5.51,-0.2,-0.04,0.29,0.41,7.83,-1.45,0.05,-0.02,-0.56,2.6,2.97,,,,,,,,
NF00407,5.07,0.15,-0.04,0.06,5.51,0.92,0.68,0.19,-0.04,-0.25,7.99,2.8,,,,,,,,
NC17-6440,-3.61,0.08,0.11,-0.03,-4.69,10.76,-6.65,0.08,-0.01,-0.41,-4.76,2.58,,,,,,,,
NF12AS-73-4_3,1.88,-0.2,-0.02,-0.14,2.78,0.45,-9.16,-0.22,-0.02,-0.26,1.39,2.09,,,,,,,,
FLLA11019-8,6.83,0.09,-0.05,-0.1,-2.59,-5.64,2.9,0.11,-0.01,-0.54,0.05,0.86,,,,,,,,
NF12AS-91-4_1,-8.54,-0.2,-0.04,0.51,13.4,8.97,-7.3,-0.22,-0.02,0.32,13.27,0.16,,,,,,,,
FLLA17088-61,-19.11,0.09,-0.04,0.27,0.55,21.43,-1.99,0.09,0.05,-1.43,0.1,-0.08,,,,,,,,
NC20-4402,-8.68,0.11,0.09,-0.49,2.9,-1.21,15.28,-0.14,0.05,-1.18,8.63,-0.61,,,,,,,,
Juggernaut,11.58,0.08,0.2,-0.07,6.25,-16.49,10.19,0.15,0.06,0.55,5.91,-1.76,,,,,,,,
NF12AS-100-4_2,7.67,0.15,-0.04,-0.37,-2.5,-10.99,3.2,-0.08,0.04,-0.25,-0.75,-1.98,,,,,,,,
OZARK|POGI,8.86,-0.3,-0.03,-0.4,-1.42,-16.9,-1.32,-0.3,-0.03,-0.41,-4.4,-2.2,,,,,,,,
HORIZON201,21.03,0.12,0.07,-0.77,3.9,-26.12,7.43,0.1,-0.03,-0.46,4.1,-2.58,,,,,,,,
GERARD224,17.76,-0.08,0.08,-0.64,-11.94,-21.01,-6.42,-0.12,0.03,-0.82,-9.23,-3.21,,,,,,,,
NF99401_1-1,-1.84,-0.61,-0.02,-0.33,-10.4,-15.74,1.51,-0.58,-0.01,-0.93,-7.55,-4.15,,,,,,,,
NF13-4214-4_5,-37.24,0.4,-0.04,0.9,-7.82,57.18,-39.53,0,-0.03,-0.25,-7.21,-4.79,,,,,,,,
LA17129SBSS-8-1,-1.12,0.39,-0.04,-0.21,-6.44,-5.38,11.28,0.15,-0.01,-1.18,-5.49,-5.5,,,,,,,,
NF99414,-10.36,-0.34,-0.02,0.18,-10.54,3.74,-11.24,-0.3,-0.01,-0.56,-13.02,-5.84,,,,,,,,
NC21-6502,2.27,-0.3,0.11,-0.59,-6.63,-15.66,8.79,0.08,-0.01,-0.41,-4.76,-5.85,,,,,,,,
NF13-4157-4_2,-25.25,0.15,-0.05,0.26,-7.3,10.72,12.12,-0.33,-0.02,-0.32,-6.49,-6.89,,,,,,,,
NF12AS-107-4_2-1,10.13,-0.47,-0.05,-0.79,0.03,-23.81,-0.47,-0.14,-0.04,-0.33,0.03,-7.02,,,,,,,,
NF05424_2,-16.19,-0.3,-0.01,0.43,15.29,11.55,-13.42,-0.05,0,-0.82,11.42,-7.91,,,,,,,,
NC20-4795,5.99,0.04,0.12,-0.38,4.09,-11.04,-4.87,0.07,0.08,0.23,5.65,-7.92,,,,,,,,
LA17153SBSS-55-1,0.28,-0.15,-0.06,-0.11,-1.68,-14.39,3.92,-0.16,-0.03,0.43,-1.68,-9.27,,,,,,,,
LA15015SB-S50,-0.02,0.24,0.08,-0.37,-4.47,3.95,-22.41,0.21,0.04,-0.22,-7.72,-11.08,,,,,,,,
NC21-6576,-7.46,0.15,-0.02,-0.05,-7.09,-1.68,1.52,0.14,0.07,-0.14,-5.95,-11.12,,,,,,,,
TX19CAS0058,3.01,-0.15,-0.04,-0.52,9.47,-22.72,10.26,-0.07,0.05,-0.18,8.8,-11.7,,,,,,,,
NF13-4214-4_1,-11.32,-0.09,-0.04,-0.07,-5.98,2.24,-11.4,-0.08,-0.03,0.23,-5.34,-13.23,,,,,,,,
NF13-4173-4_4,-16.72,0.04,-0.02,0.46,1.88,-1.13,15.85,0.07,-0.01,3.4,4.58,-13.23,,,,,,,,
TX18OCS9100,-6.39,-0.17,-0.04,-0.42,-6.64,-12.39,0.17,-0.3,0.05,-0.2,-3.89,-13.38,,,,,,,,
NF13-4124-4_8,-0.78,0.07,-0.02,0.32,-0.18,0.08,-19.67,0.11,-0.01,1.47,0.47,-13.45,,,,,,,,
NC21-6475,-2.15,0.12,-0.02,0.64,1.56,-6.65,0.86,0.19,0.07,3.79,-2.12,-13.93,,,,,,,,
NF13-4124-4_3,-25.84,0.12,-0.03,0.64,-0.99,21.11,-10.67,0.19,-0.02,0.92,0.77,-14.37,,,,,,,,
Savage,13.06,0.42,-0.05,-0.84,4.18,-21.06,-2.83,0.2,-0.02,-1.2,4.47,-14.39,,,,,,,,
NF13-4173-4_6,-5.33,0.02,-0.03,-0.06,1.48,-1.67,-12.66,0.12,-0.02,-0.19,1.79,-14.68,,,,,,,,
FLLA17069-65,12.26,0.47,0.09,0.02,6.34,-19.75,-0.27,0.25,0.05,1.16,9.15,-15.15,,,,,,,,
NF13-4083-4_6,-10.49,-0.16,-0.03,0.86,-0.23,5.39,-22.88,-0.08,-0.02,2.25,0.92,-16.29,,,,,,,,
PA7617-3658,-13.68,-0.4,-0.04,-0.68,16.09,-5.46,-11.59,-0.35,-0.04,-0.32,13.27,-16.72,,,,,,,,
LA17075SBSS-29-1,1.66,0.05,-0.04,-0.34,-0.27,-2.73,-30.23,0.13,-0.03,-0.42,-4.76,-17.59,,,,,,,,
NF401_1,-2.63,0.02,-0.03,-0.06,2.31,-7.74,-12.87,0.12,-0.02,0.61,3.39,-18.55,,,,,,,,
NC21-6505,-3.04,0.5,-0.02,-0.2,-9.21,-3.13,-8.84,0.56,-0.01,-0.96,-3.99,-20.57,,,,,,,,
NF13-4153-4_2,-5.18,0.06,-0.04,-0.01,0.41,-6.9,-20.78,0.17,-0.03,-0.17,0.96,-24.84,,,,,,,,
FLLA17069-52,3.61,0.12,-0.04,-0.56,7,-26.33,1.88,0.29,-0.01,-0.69,6.37,-25.1,,,,,,,,
TX19CAS0057,-3.02,0.18,-0.04,0.15,4.44,-12.38,-11.11,0.19,0.05,0.67,3.26,-25.11,,,,,,,,
LA08039SBSBS-56-A1,3.45,-0.43,-0.04,-0.85,9.7,-34.05,-9.23,-0.26,0.05,-1.57,8.2,-26.63,,,,,,,,
NF12AS-122-4_3,-14.11,-0.14,-0.03,0.53,3.78,-9.91,-5.76,0.23,-0.02,0.73,2.93,-28.72,,,,,,,,
SCLA17018SBSS-45-1,-14.33,0.45,0.08,-0.06,-0.4,4.84,-22.61,0.43,0.06,-0.31,-4.02,-29.12,,,,,,,,
Clav 4476,-6.53,0.19,-0.02,0.42,16.04,-9.16,-18.82,0.14,-0.02,2.11,21.13,-29.96,,,,,,,,
FLLA17069-53,-3.61,0.45,-0.03,-0.58,-3.37,-13.78,-13.53,0.33,-0.02,-0.54,-0.07,-31.23,,,,,,,,
NC18-5877N,-23.6,0.08,0.2,0.3,-2.68,7.43,-31.43,0.13,0.11,0.11,0.18,-33.68,,,,,,,,
Clav 7618,-29.94,0.15,-0.02,0.23,8.1,3.97,-17.6,0.14,-0.01,-0.14,6.85,-37.96,,,,,,,,
NC09-4503N,-18.22,-0.17,0.09,0.6,-1.93,-3.89,-34.2,0.13,0.05,0.59,-6.78,-39.43,,,,,,,,
FLLA16083-25,-32.57,0.09,0.08,0.34,-2.44,1.21,-33.73,0.11,-0.01,1.23,-0.99,-51.06,,,,,,,,
Clav 6982,-29.95,0.47,-0.03,0.01,11.09,-1.96,-30.82,0.06,-0.03,0.28,9.04,-52.98,,,,,,,,
