unique_id,plotNo,pairNo,block,accession,crop,intercrop,crop_2,trial
2025_winter_plot_47,47,26,Block2,LA17089SBS-45-1-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_48,48,26,Block2,LA17089SBS-45-1-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_49,49,27,Block2,SA21,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_50,50,28,Block2,PI365616,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_51,51,29,Block2,NF12AS-73-4_3,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_52,52,29,Block2,NF12AS-73-4_3,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_53,53,30,Block2,NF13-4124-4_3,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_54,54,30,Block2,NF13-4124-4_3,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_55,55,31,Block2,NC21-6576,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_56,56,31,Block2,NC21-6576,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_57,57,32,Block2,NC20-4795,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_58,58,32,Block2,NC20-4795,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_59,59,33,Block2,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_60,60,33,Block2,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_61,61,34,Block2,TX19CAS0058,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_62,62,34,Block2,TX19CAS0058,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_63,63,35,Block2,AVE265_59,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_64,64,36,Block2,NC21-6429,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_65,65,36,Block2,NC21-6429,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_66,66,37,Block2,LA17153SBSS-55-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_67,67,37,Block2,LA17153SBSS-55-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_68,68,38,Block2,NF13-4173-4_4,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_69,69,38,Block2,NF13-4173-4_4,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_70,70,39,Block2,NF13-4214-4_5,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_71,71,39,Block2,NF13-4214-4_5,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_72,72,40,Block2,NF12AS-108-4_4,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_73,73,40,Block2,NF12AS-108-4_4,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_74,74,41,Block2,NORA,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_75,75,41,Block2,NORA,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_76,76,42,Block2,BLACK_MESDAG|PI93284,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_77,77,43,Block2,NF13-4173-4_5,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_78,78,43,Block2,NF13-4173-4_5,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_79,79,44,Block2,FLLA17069-54,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_80,80,44,Block2,FLLA17069-54,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_81,81,45,Block2,NF502_5,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_82,82,45,Block2,NF502_5,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_83,83,46,Block2,NF12AS-107-4_2-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_84,84,46,Block2,NF12AS-107-4_2-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_85,85,47,Block3,PA7617-3658,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_86,86,47,Block3,PA7617-3658,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_87,87,48,Block3,KARCAGI,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_88,88,49,Block3,LA17089SBS-45-1-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_89,89,49,Block3,LA17089SBS-45-1-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_90,90,50,Block3,Horizon 578,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_91,91,50,Block3,Horizon 578,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_92,92,51,Block3,NC21-6609,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_93,93,51,Block3,NC21-6609,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_94,94,52,Block3,LA99016,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_95,95,52,Block3,LA99016,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_96,96,53,Block3,NC19-3542,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_97,97,53,Block3,NC19-3542,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_98,98,54,Block3,PA7617-3460,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_99,99,54,Block3,PA7617-3460,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_100,100,55,Block3,SCLA17080SBS-4-2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_101,101,55,Block3,SCLA17080SBS-4-2,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_102,102,56,Block3,TX19CAS0058,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_103,103,56,Block3,TX19CAS0058,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_104,104,57,Block3,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_105,105,57,Block3,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_106,106,58,Block3,28C2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_107,107,59,Block3,CAV3163,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_108,108,60,Block3,Juggernaut,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_109,109,60,Block3,Juggernaut,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_110,110,61,Block3,SCLA17031SBSS-4-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_111,111,61,Block3,SCLA17031SBSS-4-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_112,112,62,Block3,NF00407,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_113,113,62,Block3,NF00407,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_114,114,63,Block3,HARRISON,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_115,115,63,Block3,HARRISON,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_116,116,64,Block3,NF13-4214-4_1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_117,117,64,Block3,NF13-4214-4_1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_118,118,65,Block3,NF05424_2,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_119,119,65,Block3,NF05424_2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_120,120,66,Block3,TX18OCS9100,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_121,121,66,Block3,TX18OCS9100,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_122,122,67,Block3,NC20-4702,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_123,123,67,Block3,NC20-4702,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_124,124,68,Block3,PI344827,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_125,125,69,Block3,NC20-4795,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_126,126,69,Block3,NC20-4795,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_127,127,70,Block4,PI365621,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_128,128,71,Block4,BLACK_MESDAG|PI93284,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_129,129,72,Block4,NF12AS-107-4_4,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_130,130,72,Block4,NF12AS-107-4_4,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_131,131,73,Block4,NF502_5,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_132,132,73,Block4,NF502_5,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_133,133,74,Block4,LA17069SBSS-2-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_134,134,74,Block4,LA17069SBSS-2-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_135,135,75,Block4,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_136,136,75,Block4,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_137,137,76,Block4,NF12AS-108-4_4,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_138,138,76,Block4,NF12AS-108-4_4,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_139,139,77,Block4,28C2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_140,140,78,Block4,NF13-4157-4_2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_141,141,78,Block4,NF13-4157-4_2,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_142,142,79,Block4,NF13-4126-4_3,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_143,143,79,Block4,NF13-4126-4_3,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_144,144,80,Block4,NF01404A,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_145,145,80,Block4,NF01404A,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_146,146,81,Block4,PI365622,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_147,147,82,Block4,NC21-6492,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_148,148,82,Block4,NC21-6492,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_149,149,83,Block4,NC20-4700,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_150,150,83,Block4,NC20-4700,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_151,151,84,Block4,HARRISON,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_152,152,84,Block4,HARRISON,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_153,153,85,Block4,NF97405B2,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_154,154,85,Block4,NF97405B2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_155,155,86,Block4,TX18OCS9104,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_156,156,86,Block4,TX18OCS9104,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_157,157,87,Block4,NF01401B,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_158,158,87,Block4,NF01401B,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_159,159,88,Block4,NC19-3542,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_160,160,88,Block4,NC19-3542,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_161,161,89,Block4,FLLA17088-61,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_162,162,89,Block4,FLLA17088-61,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_163,163,90,Block4,Gerard 227,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_164,164,90,Block4,Gerard 227,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_165,165,91,Block4,NF13-4173-4_4,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_166,166,91,Block4,NF13-4173-4_4,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_167,167,92,Block4,NC20-4402,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_168,168,92,Block4,NC20-4402,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_169,169,93,Block5,NC21-6511,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_170,170,93,Block5,NC21-6511,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_171,171,94,Block5,NC17-6440,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_172,172,94,Block5,NC17-6440,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_173,173,95,Block5,LA17153SBSS-46-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_174,174,95,Block5,LA17153SBSS-46-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_175,175,96,Block5,NC21-6502,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_176,176,96,Block5,NC21-6502,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_177,177,97,Block5,NF12AS-108-4_1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_178,178,97,Block5,NF12AS-108-4_1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_179,179,98,Block5,CAV3088,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_180,180,99,Block5,NF97405-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_181,181,99,Block5,NF97405-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_182,182,100,Block5,RADNORSHIRE_SPRIG|CIAV3219,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_183,183,101,Block5,NF12AS-73-4_3,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_184,184,101,Block5,NF12AS-73-4_3,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_185,185,102,Block5,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_186,186,102,Block5,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_187,187,103,Block5,NC20-4700,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_188,188,103,Block5,NC20-4700,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_189,189,104,Block5,NF12AS-107-4_4,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_190,190,104,Block5,NF12AS-107-4_4,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_191,191,105,Block5,NC20-4452,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_192,192,105,Block5,NC20-4452,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_193,193,106,Block5,NF18,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_194,194,106,Block5,NF18,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_195,195,107,Block5,PI365622,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_196,196,108,Block5,NC21-6610,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_197,197,108,Block5,NC21-6610,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_198,198,109,Block5,CAV2980,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_199,199,110,Block5,Horizon 578,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_200,200,110,Block5,Horizon 578,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_201,201,111,Block5,NF13-4214-4_5,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_202,202,111,Block5,NF13-4214-4_5,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_203,203,112,Block5,NF13-4214-4_1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_204,204,112,Block5,NF13-4214-4_1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_205,205,113,Block5,NC21-6429,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_206,206,113,Block5,NC21-6429,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_207,207,114,Block5,FLLA11019-8,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_208,208,114,Block5,FLLA11019-8,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_209,209,115,Block5,NF99414,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_210,210,115,Block5,NF99414,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_211,211,116,Block6,HORIZON201,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_212,212,116,Block6,HORIZON201,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_213,213,117,Block6,FLLA11019-8,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_214,214,117,Block6,FLLA11019-8,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_215,215,118,Block6,NORA,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_216,216,118,Block6,NORA,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_217,217,119,Block6,PA7617-3658,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_218,218,119,Block6,PA7617-3658,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_219,219,120,Block6,TX18OCS9125,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_220,220,120,Block6,TX18OCS9125,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_221,221,121,Block6,NF00407,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_222,222,121,Block6,NF00407,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_223,223,122,Block6,LA17069SBSS-2-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_224,224,122,Block6,LA17069SBSS-2-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_225,225,123,Block6,LA17153SBSS-46-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_226,226,123,Block6,LA17153SBSS-46-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_227,227,124,Block6,LA17129SBSS-8-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_228,228,124,Block6,LA17129SBSS-8-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_229,229,125,Block6,NF12AS-100-4_2,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_230,230,125,Block6,NF12AS-100-4_2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_231,231,126,Block6,DOMACA_ZOB,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_232,232,127,Block6,PI365615,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_233,233,128,Block6,FLLA17088-61,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_234,234,128,Block6,FLLA17088-61,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_235,235,129,Block6,PI365619,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_236,236,130,Block6,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_237,237,130,Block6,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_238,238,131,Block6,NF01401B,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_239,239,131,Block6,NF01401B,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_240,240,132,Block6,NF13-4173-4_5,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_241,241,132,Block6,NF13-4173-4_5,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_242,242,133,Block6,PI365621,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_243,243,134,Block6,NF05424_2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_244,244,134,Block6,NF05424_2,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_245,245,135,Block6,NF13-4083-4_6,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_246,246,135,Block6,NF13-4083-4_6,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_247,247,136,Block6,NF12AS-91-4_1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_248,248,136,Block6,NF12AS-91-4_1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_249,249,137,Block6,FLLA17088-77,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_250,250,137,Block6,FLLA17088-77,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_251,251,138,Block6,NC21-6502,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_252,252,138,Block6,NC21-6502,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_253,253,139,Block7,PA7617-3460,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_254,254,139,Block7,PA7617-3460,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_255,255,140,Block7,NF99414-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_256,256,140,Block7,NF99414-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_257,257,141,Block7,NF13-4126-4_3,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_258,258,141,Block7,NF13-4126-4_3,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_259,259,142,Block7,Juggernaut,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_260,260,142,Block7,Juggernaut,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_261,261,143,Block7,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_262,262,143,Block7,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_263,263,144,Block7,NF12AS-107-4_2-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_264,264,144,Block7,NF12AS-107-4_2-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_265,265,145,Block7,OKAY,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_266,266,145,Block7,OKAY,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_267,267,146,Block7,NF13-4083-4_6,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_268,268,146,Block7,NF13-4083-4_6,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_269,269,147,Block7,SCLA17080SBS-4-2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_270,270,147,Block7,SCLA17080SBS-4-2,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_271,271,148,Block7,NC21-6497,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_272,272,148,Block7,NC21-6497,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_273,273,149,Block7,PI344827,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_274,274,150,Block7,NF99414,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_275,275,150,Block7,NF99414,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_276,276,151,Block7,NF12AS-108-4_1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_277,277,151,Block7,NF12AS-108-4_1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_278,278,152,Block7,HORIZON201,Oat,intercrop,oat-pea,2025_winter_plot
