"observationUnitName","observationUnitDbId","plot_number","subplot","plot_subplot","blue_mean","ExG_0-1_mean","green_mean","NDVI_mean","nir_mean","red_mean","red_edge_mean"
"CU_2025_Ithaca_WOP_PLOT_111_subplot_3",730572,111,3,"111_3",36267.6957074722,0.0114467408585056,38696.3802861685,-0.0252492538863562,36659.9186009539,38636.9042925278,37990.4610492846
"CU_2025_Ithaca_WOP_PLOT_112_subplot_1",730693,112,1,"112_1",35565.9290937997,0.00572337042925278,37387.8139904611,-0.0424688081477961,34975.3678855326,38149.9841017488,36108.627027027
"CU_2025_Ithaca_WOP_PLOT_112_subplot_2",730694,112,2,"112_2",36040.4853409815,0.00446144040790312,37992.4056724028,-0.0351023448967844,35517.3224984066,38199.4343530911,36642.8295092416
"CU_2025_Ithaca_WOP_PLOT_112_subplot_3",730695,112,3,"112_3",36875.6082113304,0.0340547422024188,39176.4299809039,-0.0200178156336114,36790.8236791852,38383.1705919796,38022.3895607893
"CU_2025_Ithaca_WOP_PLOT_113_subplot_1",730660,113,1,"113_1",36932.2947535771,0.00731319554848967,38683.4950715421,0.0229536489734045,40968.8009538951,39203.2451510334,41646.3440381558
"CU_2025_Ithaca_WOP_PLOT_113_subplot_2",730661,113,2,"113_2",38245.2550761421,0.00571065989847716,39519.6881345178,0.0204132566935871,42122.548857868,40559.1916243655,43102.0802664975
"CU_2025_Ithaca_WOP_PLOT_113_subplot_3",730662,113,3,"113_3",38348.8431933842,0.00540712468193384,39438.1596692112,0.0271698300176903,43009.8110687023,40818.6065521628,44273.4685114504
"CU_2025_Ithaca_WOP_PLOT_114_subplot_1",730801,114,1,"114_1",39154.6987913486,0.00127226463104326,40484.5426208651,-0.00407490145429164,41136,41608.4500636132,42355.9681933842
"CU_2025_Ithaca_WOP_PLOT_114_subplot_2",730802,114,2,"114_2",37835.5085659898,0.00475888324873096,39237.9869923858,0.0172562256363841,42221.1170685279,40884.8236040609,43083.2350888325
"CU_2025_Ithaca_WOP_PLOT_114_subplot_3",730803,114,3,"114_3",38362.5979020979,0.00158931977113795,39405.8512396694,0.0131104331247206,42575.1881754609,41560.0232040687,43972.4227590591
"CU_2025_Ithaca_WOP_PLOT_115_subplot_1",731245,115,1,"115_1",37311.0667090216,0.0231893265565438,39312.458386277,0.0198188517035945,40152.9371029225,38663.3411689962,41608.0438373571
"CU_2025_Ithaca_WOP_PLOT_115_subplot_2",731246,115,2,"115_2",37031.9276609305,0.0544933078393881,38867.5165710644,0.0386828980536947,41576.2007648184,38473.3524537922,42797.086998088
"CU_2025_Ithaca_WOP_PLOT_115_subplot_3",731247,115,3,"115_3",37370.0165341812,0.036248012718601,38751.5853736089,0.0334944456641938,41812.693481717,39104.7926868045,43449.8346581876
"CU_2025_Ithaca_WOP_PLOT_116_subplot_1",731083,116,1,"116_1",36227.7640699523,0.0187599364069952,37839.2298887123,-0.0295258047609123,35778.4712241653,38032.9437201908,38113.7945945946
"CU_2025_Ithaca_WOP_PLOT_116_subplot_2",731084,116,2,"116_2",35597.78125,0.0274234693877551,37244.3360969388,0.000791262567743706,37352.7382015306,37287.5545280612,39473.3042091837
"CU_2025_Ithaca_WOP_PLOT_116_subplot_3",731085,116,3,"116_3",35785.3740458015,0.0381679389312977,37274.5763358779,0.0207383963675959,38913.0229007634,37333.6075063613,41118.7029262087
"CU_2025_Ithaca_WOP_PLOT_117_subplot_1",730405,117,1,"117_1",35349.7841017488,0.0349761526232114,37914.5437201908,-0.00306736028291724,37460.5561208267,37709.1561208267,39251.2518282989
"CU_2025_Ithaca_WOP_PLOT_117_subplot_2",730406,117,2,"117_2",35871.4886978669,0.04075135307227,37939.5141674626,0.0127588715989152,38932.5972620185,37955.4189748488,40617.5284941102
"CU_2025_Ithaca_WOP_PLOT_117_subplot_3",730407,117,3,"117_3",35829.0190597205,0.0212833545108005,37503.6772554003,0.0193520090721114,39576.9507623888,38089.9037484117,41415.4847522236
"CU_2025_Ithaca_WOP_PLOT_118_subplot_1",731224,118,1,"118_1",34903.8200890019,0.0241576605212969,37554.5689764781,-0.0147377159995297,36710.8232676414,37874.4952320407,38599.8146853147
"CU_2025_Ithaca_WOP_PLOT_118_subplot_2",731225,118,2,"118_2",34737.9930203046,0.049492385786802,37293.7557106599,0.0110651107434081,38502.8730964467,37703.8013959391,40058.5396573604
"CU_2025_Ithaca_WOP_PLOT_118_subplot_3",731226,118,3,"118_3",34874.6847964377,0.0454834605597964,37196.9726463104,0.0246755200574515,39951.2948473282,38024.1720737913,41373.8718193384
"CU_2025_Ithaca_WOP_PLOT_119_subplot_1",730744,119,1,"119_1",35292.9926844784,0.0295801526717557,39035.0069974555,-0.0228299516648166,37492.1768447837,39315.7045165394,40457.3724554707
"CU_2025_Ithaca_WOP_PLOT_119_subplot_2",730745,119,2,"119_2",35841.9394035533,0.0215736040609137,39267.5748730964,-0.0131225821336843,38638.597715736,39762.0038071066,41535.2344543147
"CU_2025_Ithaca_WOP_PLOT_119_subplot_3",730746,119,3,"119_3",36022.0482999682,0.0251032729583731,39155.6625357483,-0.000575573115133176,39818.2774070543,39929.6997140134,42446.7241817604
"CU_2025_Ithaca_WOP_PLOT_120_subplot_1",731131,120,1,"120_1",35777.7719186785,0.0730622617534943,40707.5219186785,-0.00856189199746573,39999.3116264295,40766.9965057179,42825.2404701398
"CU_2025_Ithaca_WOP_PLOT_120_subplot_2",731132,120,2,"120_2",34411.0708386277,0.17566709021601,39641.7172808132,0.050997542532712,42656.9710927573,38569.2401524778,44272.0073062262
"CU_2025_Ithaca_WOP_PLOT_120_subplot_3",731133,120,3,"120_3",33822.4092639594,0.219860406091371,39116.095177665,0.0872295817957702,44594.5203045685,37495.423857868,45377.6786167513
"CU_2025_Ithaca_WOP_PLOT_121_subplot_1",730558,121,1,"121_1",36339.9216121866,0.0269755633132339,41644.8295779118,-0.0197996897631157,40824.670580768,42578.6474135195,43649.0174547763
"CU_2025_Ithaca_WOP_PLOT_121_subplot_2",730559,121,2,"121_2",36600.1688973869,0.0184831102613129,41680.0305927342,-0.00693855628339358,42047.6360739324,42764.8036966221,44437.3626513703
"CU_2025_Ithaca_WOP_PLOT_121_subplot_3",730560,121,3,"121_3",36693.0957379135,0.0209923664122137,41526.4468829517,0.00348933667562974,42897.7932569975,42734.237913486,45010.5435750636
"CU_2025_Ithaca_WOP_PLOT_122_subplot_1",730717,122,1,"122_1",34268.6178060413,0.0753577106518283,40057.9993640699,-0.0104136641220495,38997.2063593005,39890.8193958665,41855.306836248
"CU_2025_Ithaca_WOP_PLOT_122_subplot_2",730718,122,2,"122_2",33048.4310289901,0.156100669002867,38817.8518636509,0.0398953155986504,41279.5323351386,38216.2220452373,42549.0484230647
"CU_2025_Ithaca_WOP_PLOT_122_subplot_3",730719,122,3,"122_3",32034.05858007,0.273798153454314,37839.9382362305,0.0918312576956721,43272.9102196753,35987.0633556192,43189.2311365807
"CU_2025_Ithaca_WOP_PLOT_123_subplot_1",730681,123,1,"123_1",32908.8808537751,0.0675374323032813,39069.2860783689,-0.0158318513427587,38224.6145269194,39548.4418604651,41319.3281299777
"CU_2025_Ithaca_WOP_PLOT_123_subplot_2",730682,123,2,"123_2",35913.9294117647,0.0190779014308426,41489.2982511924,-0.0392957590669823,39240.6543720191,42565.7001589825,42617.760572337
"CU_2025_Ithaca_WOP_PLOT_123_subplot_3",730683,123,3,"123_3",36585.1426297357,0.0114613180515759,41368.4848774276,-0.0308184603702776,39933.8672397326,42587.0611270296,42676.0579433301
"CU_2025_Ithaca_WOP_PLOT_124_subplot_1",730807,124,1,"124_1",34789.929321872,0.0538045208532315,40649.0280165552,-0.0320924960919518,38428.8204393505,41127.2601082458,41324.1754218402
"CU_2025_Ithaca_WOP_PLOT_124_subplot_2",730808,124,2,"124_2",33912.3359771574,0.128807106598985,39627.7534898477,0.0124989090548442,39969.4168781726,39100.4346446701,41443.1697335025
"CU_2025_Ithaca_WOP_PLOT_124_subplot_3",730809,124,3,"124_3",32203.5387794024,0.326128417037508,37846.0193897012,0.0941855557084162,42611.3480610299,35263.3213604577,41823.437698665
"CU_2025_Ithaca_WOP_PLOT_125_subplot_1",731233,125,1,"125_1",39095.9546031746,0.026984126984127,40840.4215873016,-0.0182210219491751,40458.4438095238,42117.0107936508,42204.2501587302
"CU_2025_Ithaca_WOP_PLOT_125_subplot_2",731234,125,2,"125_2",38859.6608391608,0.0178003814367451,40099.875079466,-0.0220308315614037,39747.7247298156,41651.2762237762,41445.8928798474
"CU_2025_Ithaca_WOP_PLOT_125_subplot_3",731235,125,3,"125_3",38679.9081081081,0.00127186009538951,39502.5446740859,-0.0311972723069092,38722.2108108108,41332.4607313196,40378.4203497615
"CU_2025_Ithaca_WOP_PLOT_126_subplot_1",731059,126,1,"126_1",37739.3720190779,0.0127186009538951,39805.7955484897,-0.0118923597395448,40048.0950715421,41132.5023847377,42268.7007949126
"CU_2025_Ithaca_WOP_PLOT_126_subplot_2",731060,126,2,"126_2",37830.2186607426,0.0104728657569026,39018.7238971755,-0.0105434765746161,39352.0177721358,40320.7315138051,41282.3440177721
"CU_2025_Ithaca_WOP_PLOT_126_subplot_3",731061,126,3,"126_3",39085.6020959035,0.0012702445220705,39514.5026992696,-0.0205818575351941,39245.9145760559,41023.1238488409,41238.3680533503
"CU_2025_Ithaca_WOP_PLOT_127_subplot_1",730399,127,1,"127_1",39204.1313613231,0.0194020356234097,41231.9891857506,0.004153445977827,42161.2668575064,42011.5877862595,44430.1125954199
"CU_2025_Ithaca_WOP_PLOT_127_subplot_2",730400,127,2,"127_2",36351.3869330796,0.0675547098001903,38036.4392641928,0.0600760145537381,42233.1858547415,37517.277196321,42721.4230891215
"CU_2025_Ithaca_WOP_PLOT_127_subplot_3",730401,127,3,"127_3",34686.5931933842,0.106234096692112,36200.1215012723,0.0922909939671101,42144.0133587786,35016.409351145,41662.7239185751
"CU_2025_Ithaca_WOP_PLOT_128_subplot_1",731218,128,1,"128_1",39120.659885569,0.0257469802924348,41427.5702479339,0.0152123689769318,44074.5727908455,42886.4589955499,46289.7231404959
"CU_2025_Ithaca_WOP_PLOT_128_subplot_2",731219,128,2,"128_2",40443.2361904762,0.0126984126984127,41063.1022222222,0.009202401318736,43203.6380952381,42529.7888888889,45305.4625396825
"CU_2025_Ithaca_WOP_PLOT_128_subplot_3",731220,128,3,"128_3",39909.9920534011,0.0206611570247934,39750.0750158932,0.0252944847795582,42947.0489510489,40909.0429116338,44279.7183725365
"CU_2025_Ithaca_WOP_PLOT_129_subplot_1",730753,129,1,"129_1",38962.8734499205,0.0435612082670906,41087.3764705882,0.0255404854361784,43891.4658187599,41819.5259141495,46337.1173290938
"CU_2025_Ithaca_WOP_PLOT_129_subplot_2",730754,129,2,"129_2",37197.609375,0.0615433673469388,38814.9145408163,0.0684691874025946,43875.1683673469,38297.2152423469,45217.4343112245
"CU_2025_Ithaca_WOP_PLOT_129_subplot_3",730755,129,3,"129_3",36227.5038143674,0.089319771137953,37312.2142403051,0.101155298523006,44267.0613477432,36075.4526382708,44512.8626827718
"CU_2025_Ithaca_WOP_PLOT_130_subplot_1",730519,130,1,"130_1",39911.850826972,0.00922391857506361,40997.0209923664,-0.0197382294997448,41485.0648854962,43270.9249363868,45194.9984096692
"CU_2025_Ithaca_WOP_PLOT_130_subplot_2",730520,130,2,"130_2",39593.8227040816,0.022640306122449,40050.7847576531,-0.00445185743353385,41521.0816326531,41934.7799744898,44638.7337372449
"CU_2025_Ithaca_WOP_PLOT_130_subplot_3",730521,130,3,"130_3",39863.6057233704,0.00254372019077901,39400.5818759936,-0.00915418205795229,40781.5208267091,41640.9259141494,43734.6677265501
"CU_2025_Ithaca_WOP_PLOT_131_subplot_1",731263,131,1,"131_1",36490.1449920509,0.0263910969793323,37699.7042925278,0.0351293321423135,41579.4359300477,38789.2426073132,43443.1189189189
"CU_2025_Ithaca_WOP_PLOT_131_subplot_2",731264,131,2,"131_2",36521.8224269377,0.0254129606099111,37357.3027318933,0.0391868632155118,41334.0622617535,38236.3646759847,43035.4679161372
"CU_2025_Ithaca_WOP_PLOT_131_subplot_3",731265,131,3,"131_3",35648.2256524507,0.0340547422024188,36492.7647994908,0.0550696685294665,41331.6406747295,36991.4945894335,42509.9984086569
"CU_2025_Ithaca_WOP_PLOT_132_subplot_1",731107,132,1,"132_1",36447.6628498728,0.0241730279898219,37627.2267811705,0.0391786323767067,41948.1644402036,38800.8807251908,44147.9675572519
"CU_2025_Ithaca_WOP_PLOT_132_subplot_2",731108,132,2,"132_2",37444.9790675547,0.0149064383127181,37997.8896289248,0.0206195495485555,41453.6619092927,39822.7139232477,43942.2952743419
"CU_2025_Ithaca_WOP_PLOT_132_subplot_3",731109,132,3,"132_3",38522.9026717557,0.00763358778625954,38709.6272264631,0.00312160568717366,41000.9004452926,40820.0244910941,43898.25
"CU_2025_Ithaca_WOP_PLOT_133_subplot_1",730987,133,1,"133_1",37055.1652918782,0.0050761421319797,37518.307106599,-0.00388502166080756,39655.5697969543,40065.7525380711,42944.7449238579
"CU_2025_Ithaca_WOP_PLOT_133_subplot_2",730988,133,2,"133_2",36727.8378292606,0.00856870834655665,36963.7118375119,-0.0056602734220816,39258.877181847,39759.8048238654,42392.8828943193
"CU_2025_Ithaca_WOP_PLOT_133_subplot_3",730989,133,3,"133_3",36556.0906200318,0.00349761526232115,36599.0009538951,-0.00633235797777421,38632.7014308426,39230.9945945946,41626.5173290938
"CU_2025_Ithaca_WOP_PLOT_134_subplot_1",730426,134,1,"134_1",37095.8133333333,0.0488888888888889,38607.6879365079,0.0648602561178883,44147.6549206349,38870.1571428571,46026.6419047619
"CU_2025_Ithaca_WOP_PLOT_134_subplot_2",730427,134,2,"134_2",36849.9815580286,0.024483306836248,37996.0190779014,0.0489131401391153,42680.8473767886,38774.0880763116,44673.6387917329
"CU_2025_Ithaca_WOP_PLOT_134_subplot_3",730428,134,3,"134_3",36289.8114884164,0.0428435417327832,37363.399238337,0.0603455114434311,42530.825769597,37685.2900666455,44028.3310060298
"CU_2025_Ithaca_WOP_PLOT_135_subplot_1",730606,135,1,"135_1",41387.5155852417,0.00127226463104326,41723.4602417303,0.00479031313316968,44832.292302799,44549.4026717557,47425.8187022901
"CU_2025_Ithaca_WOP_PLOT_135_subplot_2",730607,135,2,"135_2",39399.5047831633,0.00223214285714286,39832.5851403061,0.019825777091943,44104.3128188776,42524.0414540816,46026.9234693878
"CU_2025_Ithaca_WOP_PLOT_135_subplot_3",730608,135,3,"135_3",37713.3170422088,0.0152332592827674,38345.9901618534,0.0390197702957571,43695.8924151063,40533.6486829578,44871.9511266265
"CU_2025_Ithaca_WOP_PLOT_136_subplot_1",730756,136,1,"136_1",36347.1195790816,0.0315688775510204,37703.4486607143,0.0838652327260762,45117.9221938776,38190.7831632653,45441.6830357143
"CU_2025_Ithaca_WOP_PLOT_136_subplot_2",730757,136,2,"136_2",36398.5737913486,0.0289440203562341,37591.5594783715,0.0698314956383432,44350.5225826972,38610.274173028,44941.1488549618
"CU_2025_Ithaca_WOP_PLOT_136_subplot_3",730758,136,3,"136_3",36651.7941457206,0.0114540248170538,37486.4549793191,0.0531462435512773,43122.2141266306,38829.72923958,44086.6446070633
"CU_2025_Ithaca_WOP_PLOT_137_subplot_1",730831,137,1,"137_1",35734.8712337456,0.0111005391690454,36495.4966698382,0.0546542605895716,42656.5087218522,38282.3418966064,43545.349825563
"CU_2025_Ithaca_WOP_PLOT_137_subplot_2",730832,137,2,"137_2",36372.608778626,0.00954198473282443,37041.2846692112,0.048852576435061,42836.6736641221,38900.0865139949,44215.201653944
"CU_2025_Ithaca_WOP_PLOT_137_subplot_3",730833,137,3,"137_3",36762.1744923858,0.0114213197969543,37264.3169416244,0.0349910505759029,42037.8937182741,39247.798857868,44174.4041878173
"CU_2025_Ithaca_WOP_PLOT_138_subplot_1",730600,138,1,"138_1",35426.8020304569,0.0237944162436548,36548.0006345178,0.0785845174161992,43808.0006345178,37436.0044416244,43724.4149746193
"CU_2025_Ithaca_WOP_PLOT_138_subplot_2",730601,138,2,"138_2",34419.1821939587,0.0394276629570747,35932.9227344992,0.105175450330874,44628.6903020668,36137.2429252782,44118.2728139905
"CU_2025_Ithaca_WOP_PLOT_138_subplot_3",730602,138,3,"138_3",34318.644874643,0.0412567438908283,35873.7940336401,0.0956154982727254,43642.6369406538,35999.2862583307,43885.9479530308
"CU_2025_Ithaca_WOP_PLOT_139_subplot_1",731053,139,1,"139_1",36453.8020304569,0.00634517766497462,37101.6659263959,0.0450249148086252,42495.2293781726,38874.2801395939,43091.1037436548
"CU_2025_Ithaca_WOP_PLOT_139_subplot_2",731054,139,2,"139_2",35604.0967639594,0.0158629441624366,36545.2347715736,0.055614138447045,42421.9996827411,37998.8619923858,42910.0402918782
"CU_2025_Ithaca_WOP_PLOT_139_subplot_3",731055,139,3,"139_3",36821.3287627551,0.0038265306122449,37505.6734693878,0.0246081069044835,41230.0455994898,39322.7771045918,42970.1010841837
"CU_2025_Ithaca_WOP_PLOT_140_subplot_1",730291,140,1,"140_1",37705.6536989796,0.00446428571428571,37464.7085459184,-0.000530822302842037,39185.928252551,39334.7289540816,40898.5130739796
"CU_2025_Ithaca_WOP_PLOT_140_subplot_2",730292,140,2,"140_2",35856.4677265501,0.00476947535771065,36192.3548489666,0.0162311871554035,38467.0969793323,37309.8200317965,40023.0817170111
"CU_2025_Ithaca_WOP_PLOT_140_subplot_3",730293,140,3,"140_3",33891.265625,0.0207270408163265,34848.8118622449,0.0308431880271586,37308.6087372449,35092.4725765306,38966.5031887755
"CU_2025_Ithaca_WOP_PLOT_141_subplot_1",730918,141,1,"141_1",36111.8042091837,0.0322066326530612,36968.009247449,0.0523817322223387,41429.9604591837,37314.3163265306,42160.3294005102
"CU_2025_Ithaca_WOP_PLOT_141_subplot_2",730919,141,2,"141_2",36232.4500636132,0.030852417302799,37266.9755089059,0.0383010015451073,40377.7636768448,37459.8403307888,41757.3129770992
"CU_2025_Ithaca_WOP_PLOT_141_subplot_3",730920,141,3,"141_3",35766.4912559619,0.0461049284578696,36925.8359300477,0.0258025653900577,38607.3774244833,36710.6817170111,40711.9341812401
"CU_2025_Ithaca_WOP_PLOT_142_subplot_1",730837,142,1,"142_1",36496.2912559618,0.027027027027027,36789.8203497615,0.0304293709500062,40351.2219395866,38025.2222575517,41280.6025437202
"CU_2025_Ithaca_WOP_PLOT_142_subplot_2",730838,142,2,"142_2",36181.4257079224,0.0171810372255807,36710.4129812281,0.0142075598935312,39020.2532612154,37947.4937957365,40610.9004136176
"CU_2025_Ithaca_WOP_PLOT_142_subplot_3",730839,142,3,"142_3",35349.1529187817,0.0187182741116751,36341.7357233503,0.0119824716332806,37816.5237944162,36995.2179568528,39877.1227791878
"CU_2025_Ithaca_WOP_PLOT_201_subplot_1",731248,201,1,"201_1",36417.4796954315,0.00793147208121827,36593.6348350254,0.0250867212929928,39731.5320431472,37832.206535533,41390.9520939086
"CU_2025_Ithaca_WOP_PLOT_201_subplot_2",731249,201,2,"201_2",38385.4992050874,0.00985691573926868,38484.9542130366,-0.00143166439672136,39395.4616852146,39576.786327504,42205.5446740859
"CU_2025_Ithaca_WOP_PLOT_201_subplot_3",731250,201,3,"201_3",38597.8603617899,0.00825134877816566,39040.8406854967,-0.0245606009186243,38127.2973659156,40120.3760710885,42060.1361472548
"CU_2025_Ithaca_WOP_PLOT_202_subplot_1",731068,202,1,"202_1",36741.3810279188,0.0282360406091371,36844.3429568528,0.053398872354949,41017.6849619289,36819.8226522843,42253.1808375635
"CU_2025_Ithaca_WOP_PLOT_202_subplot_2",731069,202,2,"202_2",35156.9527284264,0.107868020304569,36323.2357233503,0.0992625979994339,42422.4210025381,34627.0393401015,43051.8242385787
"CU_2025_Ithaca_WOP_PLOT_202_subplot_3",731070,202,3,"202_3",34709.8139904611,0.134817170111288,36533.5685214626,0.0897287193789467,41357.400317965,34393.4744038156,43116.4880763116
"CU_2025_Ithaca_WOP_PLOT_203_subplot_1",731026,203,1,"203_1",35431.4580152672,0.0537531806615776,36330.945610687,0.0929481441614085,42587.2290076336,35324.0562977099,42642.846692112
"CU_2025_Ithaca_WOP_PLOT_203_subplot_2",731027,203,2,"203_2",35496.2683158896,0.0593085949888995,36598.6384395814,0.0830144818446599,42016.2819536949,35573.2413574374,42559.041230574
"CU_2025_Ithaca_WOP_PLOT_203_subplot_3",731028,203,3,"203_3",36388.2790697674,0.0318572793883402,37444.8461293406,0.0411223728160926,40731.9633641287,37559.4925135393,42594.9627269831
"CU_2025_Ithaca_WOP_PLOT_204_subplot_1",730378,204,1,"204_1",36871.0200636943,0.0156050955414013,37016.0337579618,0.0209162778575965,39342.9582802548,37756.1898089172,40459.3872611465
"CU_2025_Ithaca_WOP_PLOT_204_subplot_2",730379,204,2,"204_2",36246.0104961832,0.00986005089058524,36767.2754452926,0.0194755539859272,39060.4729643766,37609.965648855,40234.1154580153
"CU_2025_Ithaca_WOP_PLOT_204_subplot_3",730380,204,3,"204_3",34711.2659033079,0.00540712468193384,35790.12086514,0.0236851412320449,38338.1994274809,36591.6870229008,39597.2445928753
